66,"Kemarin di London, aku selfie depan Buckingham Palace, epic banget!"
67,"Ayo, kita road trip akhir pekan ini, destinasi pertama adalah Curug Tilu!"
68,"Minggu depan kita bisa pergi camping di Pegunungan Rocky, keren kan?"
69,"Nanti malam, ada salsa dancing di Miami Beach. Kita harus pergi!"
70,"Selama di Australia, kita bisa mencoba surfing di Bondi Beach, bro."
71,Saya senang pergi berlibur ke pantai bersama teman-teman saya pada akhir pekan
72,Kami sering berkumpul di kafe favorit kami untuk ngobrol dan menikmati secangkir kopi.
73,"Perjalanan ke Paris selalu menjadi impian saya, dan akhirnya saya bisa mengunjunginya tahun lalu."
74,"Kami merencanakan perjalanan hiking ke pegunungan besok, dan saya sangat menantikan petualangan itu."
75,Museum seni adalah tempat favorit saya untuk hangout dan mendapatkan inspirasi.
76,Pemandangan indah di desa tersebut membuat perjalanan akhir pekan kami sangat berkesan.
77,"Kami baru saja kembali dari perjalanan ke Jepang, dan kami mengeksplorasi berbagai tempat menarik di sana."
78,"Malam tadi, saya dan teman-teman saya menikmati konser musik live di pusat kota."
79,"Kami merencanakan perjalanan road trip musim panas ini, dan kami bersemangat untuk menjelajahi berbagai kota di sepanjang perjalanan."
80,Saya sering berkumpul dengan keluarga besar di rumah nenek di pedesaan untuk berlibur.
81,Recommended banget untuk liburan keluarga
82,Sungguh pengalaman hiking yang unforgettable
83,"Liburan kali ini benar benar amazing, seru banget traveling dengan teman teman"
84,"Sangat memuaskan berkeliling di kota ini, orang orangnya humble dan friendly banget."
85,Jalan jalan pagi di pantai ini so refreshing!
86,Liburan ke rumah nenek tahun ini benar benar memorable
87,"Today, saya mencoba surfing untuk pertama kali, seru banget!"
88,"Pengalaman yang bad banget, liburan kali ini bener bener fail"
89,Asik banget ketemu my cousins sambil menikmati indahnya kota
90,"Cafe di pinggir jalan itu bener bener disappointing, gak recommended banget!"
91,"Nanti malam kita bisa ke rooftop bar yang ada di pusat kota, katanya view-nya spektakuler"
92,"Kita bisa coba activities water sports di pantai sini besok, kayaknya asyik deh"
93,"Kemarin, kami ke pasar lokal dan beli fresh fruits untuk masak di villa"
94,"Liburan ini, kita harus take time untuk mengunjungi the famous taman safari di sini."
95,Let's plan our next trip ke kota sebelah
96,Jangan lupa mencoba local delicacies yang terkenal saat kita travel ke sana
97,Ayo pergi ke city center untuk shopping spree
98,"Let's go ke beach resort ini, guys! "
99,Ayo ke historical landmarks di kota ini.
100,Jangan lupa mencoba burger saat travel ke sana.
101,"Mari kita plan perjalanan ke destinasi berikutnya, pasti bakal seru banget!"
102,"Saat berada di taman safari, aku melihat banyak binatang eksotis."
103,"Coba deh cari di Google Maps, tempatnya dekat dengan city center."
104,"Untuk makan siang, mari kita coba sushi terkenal di Tokyo."
105,"Nanti kalau sudah sampai tujuan, jangan lupa video call aku ya!"
106,"Jika kita ke theme park ini, pasti akan ada banyak wahana yang exiciting untuk dicoba."
107,"Tadi kita nge-book online, jadi sekarang kita tinggal tunjukin QR code pas masuk."
108,"Kalau ke pantai jangan lupa bawa sunscreen ya, biar kulit kita tidak kena sun burn."
109,"Jadi, mau makan siang apa? Street food atau fast food?"
110,"Aku nggak bawa kamera, jadi aku pakai handphone-ku saja untuk foto-foto."
111,Handphone-ku sudah low bat.
112,"Menurut maps, hotelnya sudah cukup dekat."
113,"Kalau sudah sampai, kita check in dulu"
114,"Besok kita pulang ya, budget-nya gak cukup kalau mau jalan-jalan lagi."
115,Kita akan naik pesawat dari gate satu.
116,"Handphone-ku nge-hang, aku coba restart dulu ya."
117,"Sorry, aku tadi nyasar."
118,Minggu depan kita paragliding yuk
119,"Punteun, password wifi-nya apa ya?"
120,Aku sudah booking hotel untuk satu malam
121,Minumnya iced tea aja ya biar murah
122,Ini minumannya free refill ngga ya?
123,Kamu udah coba restoran all you can eat yang baru itu belom
124,"Lebih fresh, lebih plong, rasanya enak banget!"
125,Batas checkout dari hotel ini jam berapa ya?
126,Night ride kayaknya asik nih!
127,Beli tiket fast track aja biar gaperlu ngantri lama
128,"Jangan kelamaan, nanti ngga dapet sunrise loh!"
129,Nonton sunset di pinggir pantai yuk
130,"Wah udah mepet banget nih, next time aja ya"
131,"Cape banget, harus recharge dulu biar tambah semangat"
132,Ayo turu biar besok ngga kesiangan
133,Kamu dimana? Share location kamu dong
134,"Please, Keep Up! kita ga bisa tiap lima menit istirahat terus"
135,"Macet banget, coba aja kita bisa teleport pasti udah sampe nih dari tadi"
136,Jangan lupa bawa power bank supaya nanti HP ga low bat
137,waduh aku lupa bawa earphone
138,"Tolong jangan chat aku masalah kerjaan, aku lagi liburan"
139,Kamu beli tiket di aplikasi apa? kok bisa dapat cashback sebanyak itu
140,"Tolong talangin tiket trip-nya ya, nanti akan di-reimburse "
141,Jam berapa kamu landing di Spanyol?
142,Aku masih jetlag dari flight semalam.
143,"Akhirnya kita ketemu lagi, it's been a while bro."
144,Besok kamu berangkat ke Bandung ya? Safe flight.
145,Aku enjoy banget sih clubbing di Miami.
146,"Eh, jangan lupa bawa travel charger ya."
147,"Duitku sudah habis nih, temenin ke money changer dulu dong."
148,"Aku dapet tiket ke Jepang cuma tiga juta, steal deal banget ga sih."
149,"Maaf ya, aku harus cancel plan kita ke Singapore."
150,"Hurry up, flight kita sepuluh menit lagi. "
151,Tempat ini ternyata boring banget!
152,Vibe disini ternyata asik juga.
153,"Kayaknya kita lost deh, kita ada di tempat yang salah"
154,"Hari ini tempat tujuan kita tutup, unexpected banget."
155,Udah lama kita nggak vacation disini.
156,"Di gunung ini peaceful banget , nggak ada suara mesin kendaraan."
157,Makanan di resto tadi aku kasih review five star!
158,"Nggak usah buru-buru, kita masih punya banyak waktu untuk have fun disini."
159,History di daerah ini ternyata menarik juga.
160,Aku udah take note peringatan yang dikasih pemandu tadi.
161,Plan besok siang jadinya touring ke daerah mana?
162,"Restoran ini luxus banget, aku sengaja pilih yang Michelin star buat kita"
163,"Ini kita lagi on the way ke taman kota, nanti nyusul ya"
164,Emangnya beneran itu airnya berwarna gitu di Pink Lake?
165,"Selamat datang di Big Apple, teman-teman!"
166,"Kita makan brunch di deket Town Hall aja, kayanya enak"
167,"Dompetnya siapin, kita mau pergi shopping di Orchid Road."
168,"Nanti pas naik metro, jangan lupa turunnya di Second Avenue ya"
169,Menurut internet sih kalau lagi di Downtown wajib banget makan barbeque
170,Jangan lupa bawa boarding pass sama tiketnya.
